,Pearson correlation to tm
hbond_sc,-0.15924762835016676
SR_4_burunsat_pm,-0.12553353098792994
SR_2_all_cst,-0.08112621007473145
SR_1_hbond_pm,-0.06477343193925748
SR_3_hbond_pm,-0.06477343193925748
SR_2_hbond_sc,-0.03765561423120361
SR_4_pstat_pm,-0.034676825934741355
SR_4_hbond_pm,-0.025272247155706105
SR_2_burunsat_pm,-0.024925804577586762
SR_1_nlpstat_pm,-0.008801852266405662
SR_3_nlpstat_pm,-0.008801852266405662
SR_3_pstat_pm,-0.0008254630854713399
SR_1_pstat_pm,-0.0008254630854713399
SR_1_fa_rep,-0.0008115222345070696
SR_3_fa_rep,-0.0008115222345070696
total_score,-0.0006383230004089312
tot_pstat_pm,0.0042587781836575115
SR_4_fa_rep,0.009473554698439409
SR_2_fa_rep,0.010717083497302816
SR_1_total_score,0.01439642699931867
SR_3_total_score,0.01439642699931867
SR_2_nlpstat_pm,0.014428458384897303
tot_nlpstat_pm,0.024393391851230725
SR_2_hbond_pm,0.024925804577585885
SR_5_fa_rep,0.028293100471622284
tot_hbond_pm,0.04030824435213704
SR_5_all_cst,0.040503897401390834
SR_4_total_score,0.042029873367471146
SR_5_hbond_pm,0.04815311195253385
SR_5_hbond_sc,0.04937273038311027
SR_4_hbond_sc,0.05837571980284213
SR_2_total_score,0.060409042994272216
tot_burunsat_pm,0.064251468347461
SR_3_burunsat_pm,0.06477343193925748
SR_1_burunsat_pm,0.06477343193925748
SR_2_pstat_pm,0.06883188838758603
SR_3_hbond_sc,0.07020481178730784
SR_1_hbond_sc,0.07020481178730784
tot_NLconts_pm,0.07830534336505261
SR_1_all_cst,0.1039710203764447
SR_3_all_cst,0.1039710203764447
SR_5_burunsat_pm,0.12553353098792988
SR_5_interf_E_1_2,0.1257811600361185
SR_5_total_score,0.12595253122514716
tot_nlsurfaceE_pm,0.13122969028000392
fa_rep,0.14205341130590218
SR_4_nlpstat_pm,0.17035451864811782
SR_5_dsasa_1_2,0.17787352073722945
all_cst,
tot_total_charge,
tot_total_pos_charges,
tot_total_neg_charges,
tot_seq_recovery,
SR_1,
SR_2,
SR_3,
SR_4,
SR_4_all_cst,
SR_5,
